Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
J.J. Moser,25,TBL,D,"$3,375,000",,,,80,56,18.48,0.29,2.14,20.91,4,17,21,0,1,1,0,1,1,41,75,25,0,0,63,18,0,334,-69,166,8482655,,55.6,55.6
J.T. Compher,30,DET,C,"$5,100,000",,,,77,53,13.68,1.14,1.67,16.48,9,14,23,2,2,4,0,1,1,22,41,16,351,326,67,-5,-127,401,51,203,8477456,,52.6,52.6
J.T. Miller,32,NYR,"C,RW","$8,000,000",,,,77,52,15.31,2.91,1.43,19.65,17,31,48,5,11,16,0,2,2,124,36,31,459,316,105,-3,1333,12,1359,370,8476468,,51.6,51.6
JJ Peterka,24,UTA,LW,"$7,700,000",,,,77,52,14.60,2.19,0.02,16.82,15,18,33,2,4,6,0,0,0,13,13,18,7,13,111,-2,40,314,46,205,8482175,,51.6,51.6
Jaccob Slavin,31,CAR,D,"$6,395,955",,,,80,50,18.10,0.19,2.72,21.01,4,15,19,0,1,1,0,1,1,14,76,5,0,0,79,10,-254,519,-323,156,8476958,,50.0,55.6
Jack Ahcan,28,COL,D,"$875,000",,,,74,51,14.82,0.42,0.42,15.65,3,11,14,0,1,1,0,0,0,48,57,17,0,0,52,4,-302,557,-371,124,8482072,,51.4,51.4
Jack Devine,22,FLA,RW,"$875,000",,,,74,52,11.78,0.44,0.42,12.65,9,11,20,1,1,2,0,0,0,62,24,16,0,0,69,-2,-297,552,-270,146,8483433,,52.3,52.3
Jack Drury,25,COL,"C,LW","$1,725,000",,,,78,54,12.12,0.70,1.66,14.48,10,12,22,1,2,3,0,1,1,29,41,20,351,278,82,6,112,281,118,228,8480835,,54.2,54.2
Jack Eichel,29,VGK,C,"$10,000,000",,,,77,54,15.98,3.39,1.33,20.70,22,38,60,4,17,21,1,0,1,21,44,7,425,439,183,8,1242,22,1420,425,8478403,,53.5,53.5
Jack Finley,23,TBL,C,"$875,000",,,,74,51,11.27,0.43,0.41,12.11,9,11,20,1,1,2,0,0,0,74,23,17,141,157,64,0,-316,573,-138,165,8482090,,51.4,51.4
Jack Hughes,24,NJD,"C,LW","$8,000,000",,,,77,38,17.11,3.21,0.70,21.03,20,28,48,4,12,16,0,1,1,5,19,5,122,223,144,7,583,113,589,288,8481559,,38.0,52.6
Jack McBain,26,UTA,"C,LW","$4,250,000",,,,82,55,11.69,0.53,1.52,13.74,9,13,22,1,1,2,0,0,0,172,38,43,266,245,64,1,560,120,566,235,8480855,,55.0,55.0
Jack Quinn,24,BUF,RW,"$3,375,000",,,,76,52,13.53,2.28,0.36,16.17,14,19,33,3,5,8,0,0,0,30,23,12,1,11,100,-5,41,313,68,199,8482097,,51.9,51.9
Jack Roslovic,29,EDM,"C,RW","$3,000,000",,,,79,44,15.05,1.38,0.17,16.59,12,16,28,2,3,5,0,0,0,15,20,8,66,56,89,0,-187,454,-160,181,8478458,,44.0,54.0
Jack St. Ivany,26,PIT,D,"$875,000",,,,74,51,13.80,0.02,2.29,16.11,2,7,9,0,0,0,0,0,0,85,65,21,0,0,42,-1,-281,536,-349,115,8481030,,54.0,51.4
Jackson Blake,22,CAR,RW,"$905,833",,,,80,56,13.54,2.21,0.02,15.77,18,18,36,4,4,8,0,0,0,12,27,24,3,6,118,6,253,221,280,235,8482809,,55.6,55.6
Jackson LaCombe,25,ANA,D,"$925,000",,,,76,52,18.27,2.68,2.72,23.67,7,25,32,1,9,10,0,1,1,43,95,16,0,0,90,-5,455,152,387,219,8481605,,51.9,51.9
Jacob Bernard-Docker,25,DET,D,"$875,000",,,,66,45,12.58,0.07,0.64,13.28,2,6,8,0,0,0,0,0,0,33,51,12,0,0,40,1,-585,729,-654,89,8480879,,45.1,45.1
Jacob Bryson,28,BUF,D,"$900,000",,,,56,38,12.10,0.02,0.66,12.78,1,5,6,0,0,0,0,0,0,11,33,7,0,0,13,-2,-882,785,-951,43,8480196,,38.2,38.2
