Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Justin Faulk,STL,33,D,215.2,3.59,60,23.4,1.9,6.2,26.0,32.2,111.7,2.0,9.4,106.5,55.8,-2.0,0.9,0.0,0.0,0%,,
Frank Nazar,CHI,21,C,214.9,3.58,60,18.1,2.7,15.9,23.4,39.3,123.3,3.5,11.8,46.8,39.3,-5.3,2.3,305.4,386.4,44%,,
Ivan Demidov,MTL,19,RW,214.8,3.52,61,15.3,3.1,14.2,32.4,46.5,86.1,4.6,18.7,27.1,43.9,0.7,2.1,0.0,0.6,0%,,
Cole Perfetti,WPG,23,"C,LW,RW",214.5,3.52,61,16.2,2.6,15.9,24.2,40.1,126.5,5.7,14.8,32.4,49.0,2.3,2.4,22.0,41.6,35%,,
Jordan Kyrou,STL,27,RW,214.4,3.57,60,15.5,1.7,20.2,19.1,39.3,148.4,3.3,8.8,26.8,25.1,1.1,3.0,0.9,3.2,22%,,
Darren Raddysh,T.B,29,D,213.5,3.50,61,19.8,3.5,6.4,30.8,37.2,104.8,2.7,16.9,65.2,48.3,5.6,1.2,0.0,0.0,0%,,
Matty Beniers,SEA,23,C,213.1,3.55,60,21.2,3.0,15.5,23.4,38.9,114.0,5.0,10.7,57.6,34.7,-4.4,1.9,442.4,491.3,0%,,
Aliaksei Protas,WSH,24,RW,212.1,3.54,60,17.6,0.1,19.3,25.0,44.3,118.2,0.0,0.2,39.8,28.5,5.0,3.4,15.2,37.3,29%,,
Dougie Hamilton,N.J,32,D,210.7,3.45,61,19.2,2.0,8.2,21.7,29.8,140.8,4.5,11.7,78.1,63.4,2.2,1.2,0.0,0.0,0%,,
Neal Pionk,WPG,30,D,210.7,3.45,61,23.7,1.8,6.6,23.3,29.9,119.7,2.4,8.8,104.7,112.6,1.4,1.0,0.0,0.0,0%,,
Victor Olofsson,COL,30,"LW,RW",209.3,3.49,60,15.3,3.6,17.3,20.8,38.1,134.9,8.2,17.6,19.8,32.2,7.8,3.0,0.3,4.0,7%,,
Jason Zucker,BUF,33,LW,209.2,3.49,60,15.2,3.0,16.9,23.7,40.6,124.5,7.9,16.5,17.2,68.1,0.1,2.4,35.8,55.7,39%,,
Tyler Seguin,DAL,33,"C,RW",208.9,3.48,60,17.3,1.7,21.0,24.9,45.9,112.2,3.2,5.4,19.2,40.9,6.0,3.8,309.4,249.4,55%,,
Chris Kreider,ANA,34,LW,208.9,3.48,60,16.6,2.9,22.4,15.6,38.0,141.2,9.0,13.8,20.7,58.4,-0.8,3.1,17.4,28.0,38%,,
Zach Benson,BUF,20,LW,208.6,3.48,60,18.8,3.6,11.9,27.0,38.9,125.8,4.2,13.1,31.7,38.0,1.0,1.7,5.5,14.5,27%,,
Noah Hanifin,VGK,28,D,208.4,3.42,61,23.1,1.2,8.0,22.9,30.9,123.7,1.7,6.4,94.8,39.5,6.4,1.4,0.0,0.0,0%,,
Will Cuylle,NYR,23,"LW,RW",208.2,3.53,59,17.4,2.3,18.2,18.4,36.6,135.7,6.4,10.3,40.6,196.8,0.7,3.2,12.0,24.4,33%,,
Elias Lindholm,BOS,30,C,204.9,3.53,58,17.5,3.5,13.7,22.5,36.2,113.9,5.6,15.1,48.5,75.7,-4.1,1.9,531.1,419.1,56%,,
Jonathan Drouin,NYI,30,"LW,RW",204.7,3.47,59,18.6,3.3,14.0,30.5,44.5,92.0,3.1,12.9,24.4,25.0,-0.5,2.0,48.6,54.5,47%,,
Dawson Mercer,N.J,24,"C,RW",204.1,3.35,61,20.4,2.0,19.4,17.0,36.4,124.7,4.4,6.8,51.7,39.3,1.6,2.9,103.4,139.5,43%,,
Mikael Granlund,ANA,33,"C,LW,RW",204.1,3.40,60,16.3,2.6,12.6,28.2,40.8,102.9,2.8,13.3,33.8,39.2,-1.5,1.7,309.1,323.9,49%,,
Kiefer Sherwood,VAN,30,"C,LW",204.0,3.46,59,18.0,2.5,20.5,18.9,39.4,123.9,4.5,9.6,28.8,284.7,-0.5,3.0,18.1,24.8,42%,,
Matt Coronato,CGY,23,RW,203.8,3.51,58,17.3,2.9,17.9,17.1,35.1,148.8,5.7,11.7,25.0,24.1,-4.9,2.2,42.8,69.1,38%,,
Jonathan Huberdeau,CGY,32,"C,LW",203.5,3.51,58,18.5,2.6,15.6,24.7,40.2,104.3,4.7,12.2,36.9,38.1,-4.0,1.9,9.3,13.9,40%,,
Brandon Montour,SEA,31,D,203.2,3.39,60,21.6,1.7,9.8,18.3,28.1,143.4,1.7,6.8,80.6,63.0,-5.5,1.2,0.0,0.0,0%,,
Jack Quinn,BUF,24,RW,203.0,3.38,60,17.2,3.1,15.9,22.1,38.0,126.1,4.9,12.7,26.8,39.6,-0.6,2.2,2.0,12.3,14%,,
Oliver Bjorkstrand,T.B,30,RW,202.3,3.32,61,15.0,3.2,14.6,22.9,37.5,120.7,6.5,16.8,25.4,57.8,5.8,2.6,6.1,12.5,0%,,
Brock Nelson,COL,34,C,202.2,3.37,60,17.5,1.7,18.4,19.5,37.9,128.9,2.4,5.3,37.3,32.9,8.7,3.2,414.9,424.5,49%,,
Andre Burakovsky,CHI,30,LW,202.1,3.37,60,17.2,3.1,14.2,25.4,39.6,111.3,4.0,15.5,24.3,30.0,-4.2,2.1,3.9,5.7,41%,,
Charlie McAvoy,BOS,27,D,201.7,3.48,58,23.2,3.3,6.7,25.3,32.0,95.7,1.4,9.8,96.3,87.6,-3.1,0.9,0.0,0.0,0%,,
Thomas Chabot,OTT,28,D,200.3,3.28,61,20.3,1.9,6.9,23.6,30.5,106.1,1.2,7.3,97.1,47.3,2.7,1.1,0.0,0.0,0%,,
Chandler Stephenson,SEA,31,C,199.0,3.32,60,20.3,3.0,12.8,28.5,41.3,81.5,3.1,13.9,41.0,26.3,-7.7,1.5,600.2,563.5,52%,,
Jj Peterka,UTA,23,"LW,RW",198.5,3.31,60,15.7,1.6,18.8,21.8,40.6,126.9,2.1,5.5,15.4,23.1,0.8,2.9,3.5,13.4,21%,,
Brandt Clarke,L.A,22,D,197.9,3.30,60,19.8,2.0,5.4,23.2,28.6,119.0,0.7,6.2,93.1,39.6,3.7,0.8,0.0,0.0,0%,,
Viktor Arvidsson,BOS,32,"LW,RW",197.4,3.40,58,15.7,3.4,15.4,16.7,32.1,153.5,3.9,11.7,25.0,34.5,-3.4,2.1,14.2,21.0,0%,,
Matt Duchene,DAL,34,"C,RW",197.3,3.29,60,14.4,1.6,16.3,26.1,42.4,96.5,3.9,10.9,22.0,31.1,6.0,2.9,245.6,209.2,54%,,
Filip Hronek,VAN,28,D,197.0,3.34,59,23.9,1.7,5.1,28.8,33.9,92.3,1.1,7.9,82.6,84.4,2.0,0.7,0.1,0.1,42%,,
Juraj Slafkovsky,MTL,21,"LW,RW",196.4,3.22,61,17.0,2.5,14.5,21.2,35.6,112.5,4.8,9.2,48.1,121.8,1.9,2.1,9.0,17.0,35%,,
Cam York,PHI,24,D,196.1,3.16,62,23.9,2.1,6.0,21.7,27.7,81.8,1.1,9.5,125.1,47.4,-3.1,0.9,0.0,0.0,0%,,
Pavel Buchnevich,STL,30,"C,LW,RW",196.1,3.27,60,17.9,2.4,14.5,23.9,38.4,118.4,3.6,9.6,24.0,39.7,-0.7,2.1,27.7,42.1,40%,,
Mike Matheson,MTL,31,D,196.0,3.21,61,24.6,0.3,6.0,19.7,25.7,100.7,0.2,1.5,134.3,47.1,-0.6,0.9,0.0,0.0,0%,,
Claude Giroux,OTT,37,"LW,RW",195.8,3.21,61,17.5,2.3,12.5,25.9,38.4,114.8,2.4,11.2,24.2,50.7,2.1,2.0,399.6,251.4,61%,,
Tyson Foerster,PHI,23,"LW,RW",195.6,3.15,62,17.6,2.7,20.0,15.0,35.1,126.0,4.2,7.6,39.5,62.2,-1.0,2.9,0.7,3.2,18%,,
Colton Parayko,STL,32,D,195.4,3.26,60,23.8,0.2,9.1,16.4,25.4,100.1,0.0,0.4,137.4,62.6,-0.4,1.3,0.0,0.0,0%,,
Jaden Schwartz,SEA,33,"C,LW",195.0,3.25,60,17.8,1.7,17.7,17.3,34.9,126.1,3.7,6.2,41.8,49.7,-5.5,2.1,41.9,34.9,55%,,
Josh Doan,BUF,23,RW,194.2,3.24,60,16.3,2.0,15.7,19.0,34.7,143.8,4.1,7.6,21.4,67.0,2.3,2.2,21.8,21.8,50%,,
Sam Bennett,FLA,29,C,194.0,3.18,61,16.0,1.9,16.1,17.4,33.4,144.2,3.7,6.9,29.4,109.8,3.4,2.7,342.5,386.6,47%,,
Brady Skjei,NSH,31,D,193.8,3.18,61,22.3,2.1,7.2,22.9,30.0,116.6,1.4,11.0,68.9,49.3,-6.9,1.0,0.0,0.0,0%,,
Noah Cates,PHI,26,C,193.8,3.13,62,17.3,2.5,14.1,21.1,35.2,117.5,2.8,8.9,41.2,66.1,-1.8,2.0,365.1,466.8,44%,,
Tyler Toffoli,S.J,33,"LW,RW",193.4,3.28,59,15.5,2.4,18.5,16.3,34.8,137.0,4.0,8.4,24.2,44.2,-5.2,2.3,10.2,13.2,44%,,
Jacob Trouba,ANA,31,D,192.8,3.21,60,23.6,1.0,3.8,17.1,20.9,108.1,0.2,1.7,148.4,129.1,-1.8,0.5,0.0,0.0,0%,,
Travis Sanheim,PHI,29,D,192.5,3.10,62,24.5,0.3,6.8,19.3,26.1,101.7,0.0,0.8,125.0,57.7,-3.1,1.0,0.0,0.0,0%,,
Simon Nemec,N.J,21,D,192.2,3.15,61,22.1,1.4,7.4,21.4,28.8,98.8,0.3,4.1,104.3,23.4,0.4,1.1,0.0,0.0,0%,,
Matvei Michkov,PHI,20,RW,192.0,3.10,62,14.8,2.0,16.0,21.6,37.6,123.6,4.0,7.6,19.3,37.1,-2.0,2.3,5.5,9.6,37%,,
Sean Couturier,PHI,32,C,191.7,3.09,62,17.9,1.6,11.0,24.8,35.7,121.1,1.3,3.4,41.1,48.1,-1.6,1.6,560.6,469.9,54%,,
Brock Faber,MIN,23,D,191.2,3.24,59,25.2,1.3,7.9,18.8,26.8,105.8,0.8,5.8,104.3,32.6,-0.5,1.2,0.0,0.0,0%,,
Cam Fowler,STL,33,D,190.8,3.18,60,22.3,2.1,5.5,27.0,32.5,86.0,1.8,11.7,76.9,21.6,-2.0,0.8,0.0,0.0,0%,,
Ivan Barbashev,VGK,29,LW,190.2,3.12,61,16.4,0.7,18.0,24.2,42.2,95.0,0.8,1.8,28.6,92.8,7.7,3.1,14.3,24.4,37%,,
Jake Walman,EDM,29,D,189.6,3.27,58,20.3,0.8,7.6,18.8,26.4,105.9,0.4,2.3,110.2,47.0,2.1,1.1,0.0,0.0,0%,,
Jimmy Snuggerud,STL,21,RW,189.4,3.16,60,16.1,2.3,14.1,19.3,33.4,121.4,5.3,10.4,36.2,54.4,-2.2,2.1,4.2,1.1,0%,,
Pavel Zacha,BOS,28,"C,LW",189.1,3.26,58,17.8,3.1,12.6,25.8,38.4,99.0,3.8,12.9,23.0,55.1,-2.9,1.7,347.3,301.6,54%,,
Eeli Tolvanen,SEA,26,"LW,RW",188.6,3.14,60,15.2,2.9,14.7,18.4,33.1,107.7,3.9,12.6,45.6,148.0,-5.5,1.8,3.5,6.9,34%,,
Mattias Ekholm,EDM,35,D,187.9,3.24,58,21.2,0.4,6.1,20.0,26.1,118.2,0.7,1.9,96.8,54.5,4.7,0.9,0.0,0.0,0%,,
Sean Walker,CAR,31,D,187.7,3.13,60,23.2,1.7,7.1,15.5,22.6,140.4,0.3,3.1,93.1,91.8,5.3,1.3,0.0,0.0,0%,,
Beckett Sennecke,ANA,19,RW,187.4,3.12,60,16.3,1.5,17.3,22.7,39.9,102.8,2.5,5.4,21.5,58.3,-1.7,2.4,2.6,2.6,50%,,
Alexander Wennberg,S.J,31,C,186.9,3.17,59,21.6,3.3,12.2,22.1,34.3,80.9,4.3,10.0,67.2,25.8,-5.7,1.5,460.9,518.4,47%,,
John Klingberg,S.J,33,D,186.1,3.15,59,20.9,3.3,8.7,19.8,28.5,97.6,6.0,13.3,76.7,52.8,-7.3,1.1,0.0,0.0,0%,,
Ivan Provorov,CBJ,28,D,185.2,3.09,60,26.0,0.9,5.9,20.5,26.4,99.0,0.3,2.3,108.3,33.3,0.3,0.9,0.0,0.0,0%,,
Corey Perry,L.A,40,RW,184.5,3.07,60,14.7,3.6,18.8,15.9,34.7,110.0,7.2,15.7,19.6,33.8,2.9,2.9,7.1,12.5,36%,,
Alex Laferriere,L.A,24,RW,184.4,3.07,60,17.1,1.8,14.9,16.1,31.0,139.7,1.5,3.9,35.1,108.8,3.2,2.3,59.3,75.7,44%,,
Christian Dvorak,PHI,29,C,184.4,2.97,62,18.2,0.9,14.2,20.5,34.6,107.0,1.3,2.6,48.7,41.9,-2.9,2.0,462.8,363.8,56%,,
Nick Paul,T.B,30,"C,LW",183.9,3.02,61,17.0,1.9,18.5,16.9,35.4,116.1,3.5,6.8,26.0,63.8,4.9,3.4,357.1,330.2,50%,,
Darnell Nurse,EDM,30,D,183.6,3.16,58,20.6,0.1,5.8,16.1,21.9,124.8,0.0,0.4,109.8,96.2,2.7,0.9,0.0,0.0,0%,,
Anders Lee,NYI,35,LW,182.9,3.10,59,15.1,1.2,15.6,16.3,31.9,135.4,1.6,3.1,32.8,75.9,-0.1,2.2,19.0,23.4,45%,,
Arseny Gritsyuk,N.J,24,RW,182.4,2.99,61,16.2,1.0,12.7,20.1,32.8,138.0,3.0,4.2,21.7,73.8,2.5,1.9,12.7,6.4,67%,,
Devon Toews,COL,31,D,182.3,3.04,60,22.6,1.2,6.5,23.7,30.2,96.3,0.4,2.1,82.5,37.3,8.7,1.1,0.0,0.0,0%,,
Kris Letang,PIT,38,D,182.1,2.98,61,22.2,1.1,5.9,20.0,25.9,111.1,1.2,4.7,88.4,82.6,-2.7,0.8,0.0,0.0,0%,,
Oliver Ekman-Larsson,TOR,34,D,182.1,3.03,60,22.0,2.2,5.7,23.9,29.6,98.8,1.3,7.9,72.1,88.0,2.2,0.8,0.0,0.0,0%,,
Michael Bunting,NSH,30,LW,182.0,2.98,61,15.0,2.8,14.6,20.2,34.7,108.0,6.6,15.2,17.2,45.0,-5.7,2.0,6.7,12.9,34%,,
Nick Blankenburg,NSH,27,D,181.6,2.98,61,20.4,2.8,6.7,20.8,27.5,98.5,3.5,14.1,71.6,63.1,-5.5,0.9,0.0,0.0,0%,,
Dmitry Orlov,S.J,34,D,180.7,3.06,59,21.6,1.9,4.4,25.7,30.1,94.4,0.4,10.2,66.0,80.6,-5.4,0.6,0.0,0.0,0%,,
Ryan McLeod,BUF,26,C,180.3,3.00,60,17.8,1.6,14.5,23.7,38.2,91.4,1.0,6.4,27.3,23.8,0.4,2.0,453.7,445.9,50%,,
Pierre-Luc Dubois,WSH,27,"C,LW",179.8,3.00,60,15.5,1.9,12.1,22.6,34.7,98.7,3.2,7.6,37.5,50.3,4.1,2.1,353.5,361.9,49%,,
Morgan Frost,CGY,26,C,179.1,3.09,58,16.3,2.8,11.7,19.8,31.5,111.7,1.9,9.9,37.7,46.9,-3.8,1.5,387.5,368.5,48%,,
Trevor Moore,L.A,30,"LW,RW",178.2,2.97,60,16.1,0.7,15.2,16.1,31.3,130.7,0.6,1.7,34.4,49.6,3.1,2.4,4.2,18.0,19%,,
Jackson Blake,CAR,22,RW,177.2,2.95,60,16.0,1.7,14.7,17.9,32.6,123.6,2.2,4.8,25.5,22.5,7.8,2.7,4.8,8.6,46%,,
Anthony Cirelli,T.B,28,C,177.1,2.90,61,15.8,1.3,16.4,18.3,34.7,92.8,2.8,4.7,44.0,30.6,6.9,3.0,380.1,388.3,49%,,
Jaccob Slavin,CAR,31,D,177.1,2.95,60,22.6,0.1,5.0,19.8,24.9,99.9,0.0,0.1,105.0,26.9,6.6,0.9,0.0,0.0,0%,,
Philip Broberg,STL,24,D,176.6,2.94,60,24.7,0.3,6.6,17.5,24.2,99.6,0.1,1.0,106.5,39.8,1.5,1.0,0.0,0.0,0%,,
Evan Rodrigues,FLA,32,"C,LW,RW",176.5,2.89,61,17.6,1.7,12.7,16.1,28.8,141.5,2.2,6.1,26.5,85.1,3.6,2.1,168.2,193.6,46%,,
Alexis Lafrenière,NYR,24,"LW,RW",176.3,2.99,59,16.4,1.6,13.3,19.8,33.2,120.5,1.9,3.9,25.2,75.8,1.2,2.3,8.9,22.4,28%,,
K'andre Miller,CAR,25,D,175.8,2.93,60,22.4,1.5,6.3,20.2,26.5,97.4,1.0,5.5,83.9,86.2,4.6,1.2,0.0,1.3,0%,,
Boone Jenner,CBJ,32,"C,LW",175.6,2.93,60,15.1,1.2,12.4,18.2,30.6,115.5,2.5,4.6,42.7,96.1,0.5,1.9,296.3,255.3,54%,,
Artyom Levshunov,CHI,20,D,175.5,2.93,60,17.4,2.7,2.0,28.5,30.6,70.2,0.9,17.7,62.0,59.3,-4.2,0.3,0.0,0.0,0%,,
Aaron Ekblad,FLA,29,D,174.1,2.85,61,21.6,2.0,4.0,21.5,25.4,101.2,1.0,6.9,80.7,79.8,3.0,0.7,0.0,0.0,0%,,
Connor McMichael,WSH,24,LW,174.0,2.90,60,16.6,1.2,14.1,18.9,32.9,114.1,1.9,4.3,27.7,32.3,3.2,2.4,226.9,284.9,44%,,
Jared Spurgeon,MIN,35,D,173.6,2.94,59,21.2,2.2,5.0,19.4,24.3,80.9,1.4,9.1,102.2,65.8,0.9,0.8,0.0,0.0,0%,,
Mackie Samoskevich,FLA,23,RW,173.4,2.84,61,15.1,2.1,12.4,17.2,29.5,119.9,4.1,10.7,28.4,111.2,2.5,2.1,0.0,0.7,0%,,
Marco Rossi,MIN,24,C,172.7,2.93,59,17.7,1.1,14.4,20.1,34.5,97.1,1.5,4.8,31.5,42.1,2.0,2.3,311.0,360.4,46%,,
Anthony Mantha,PIT,31,RW,172.3,2.82,61,14.5,1.0,17.8,16.4,34.2,97.5,1.7,3.7,34.3,43.3,0.0,2.5,4.0,11.8,25%,,
Esa Lindell,DAL,31,D,172.3,2.87,60,23.5,0.8,4.9,17.5,22.4,81.8,0.7,1.6,125.0,47.3,7.1,0.9,0.0,0.0,0%,,
Hampus Lindholm,BOS,31,D,171.9,2.96,58,23.0,2.0,4.9,19.7,24.6,94.8,1.5,6.9,87.3,40.4,-3.5,0.7,0.0,0.0,0%,,
Mason McTavish,ANA,22,C,171.8,2.86,60,14.9,1.4,13.9,20.4,34.3,103.5,1.9,5.0,24.4,56.0,-1.7,1.9,350.8,349.1,50%,,
Jonas Brodin,MIN,32,D,171.6,2.91,59,22.8,0.1,5.6,17.3,23.0,84.1,0.0,0.2,121.0,28.6,1.8,0.9,0.0,0.0,0%,,
Dylan Samberg,WPG,26,D,171.5,2.81,61,22.5,0.1,4.4,15.5,20.0,94.6,0.0,0.3,128.0,64.6,3.0,0.7,0.0,0.0,0%,,
Bobby Brink,PHI,24,RW,171.3,2.76,62,15.9,2.4,13.3,20.2,33.4,103.9,3.3,6.7,24.8,77.6,-2.8,1.9,16.6,28.2,37%,,
Ryan Hartman,MIN,31,"C,RW",170.9,2.90,59,15.2,1.8,12.5,14.5,27.1,125.9,3.2,6.2,41.2,58.5,0.1,2.0,289.0,328.7,47%,,
Charlie Coyle,CBJ,33,"C,RW",170.4,2.84,60,17.5,1.0,13.1,19.8,32.9,95.2,1.5,3.3,41.9,82.7,1.1,2.0,431.3,431.4,50%,,
Cole Sillinger,CBJ,22,"C,RW",170.3,2.84,60,17.3,0.4,10.3,20.8,31.0,118.9,0.5,0.9,33.8,72.1,0.6,1.5,199.9,255.6,44%,,
Filip Chytil,VAN,26,C,170.3,2.89,59,15.6,1.1,14.8,14.3,29.1,137.0,0.9,3.3,22.3,33.7,0.8,2.1,294.3,340.6,46%,,
Ryan Donato,CHI,29,"LW,RW",169.8,2.83,60,14.9,0.9,16.7,16.8,33.5,116.7,1.4,3.3,14.9,75.4,-4.0,2.4,125.0,158.7,44%,,
Gustav Forsling,FLA,29,D,169.7,2.78,61,21.8,0.1,6.3,18.3,24.5,114.6,0.1,0.4,76.8,64.2,5.2,1.1,0.0,0.0,0%,,
Logan Stankoven,CAR,22,"C,RW",168.3,2.80,60,14.8,1.3,12.0,17.4,29.4,131.1,1.2,3.5,22.0,36.1,6.9,2.2,210.4,236.8,47%,,
Blake Coleman,CGY,33,"C,LW,RW",167.8,2.89,58,16.3,0.8,13.7,13.9,27.6,125.4,1.1,1.6,41.4,111.7,-3.5,1.7,21.2,25.4,45%,,
Jake Neighbours,STL,23,"LW,RW",167.6,2.79,60,14.8,1.4,17.7,14.8,32.5,91.5,2.6,6.0,36.7,112.2,-1.6,2.6,6.6,8.9,43%,,
Brayden Schenn,STL,34,C,166.7,2.78,60,16.4,1.7,13.2,19.8,32.9,96.9,1.4,5.5,27.9,121.1,-0.9,1.9,338.9,317.0,52%,,
Zachary Bolduc,MTL,22,RW,166.4,2.73,61,14.4,1.8,16.6,13.1,29.7,103.9,5.6,9.4,31.9,102.6,0.7,2.4,11.4,20.4,36%,,
Simon Edvinsson,DET,22,D,166.4,2.77,60,22.2,0.1,6.6,16.3,22.9,75.0,0.0,0.2,120.1,66.3,-2.0,0.9,0.0,0.0,0%,,
Drew Doughty,L.A,35,D,166.3,2.77,60,20.3,1.7,7.2,19.4,26.6,77.7,1.2,6.4,82.2,50.1,2.9,1.1,0.0,0.0,0%,,
Ross Colton,COL,29,"C,LW",166.1,2.77,60,13.9,0.9,12.6,15.5,28.1,123.4,1.5,2.7,34.4,137.2,8.0,2.2,121.2,133.2,48%,,
Erik Haula,NSH,34,"C,LW",165.3,2.71,61,17.0,1.7,12.4,16.1,28.5,111.7,3.1,7.7,32.7,87.9,-5.6,1.7,380.5,329.5,54%,,
Bowen Byram,BUF,24,D,164.9,2.75,60,20.8,2.2,7.2,20.3,27.5,78.3,1.0,5.3,76.2,53.3,-1.0,1.0,0.0,0.0,0%,,
Emmitt Finnie,DET,20,"C,LW",164.8,2.75,60,16.1,1.7,14.1,15.7,29.8,103.7,2.6,5.7,35.8,101.3,-1.7,1.8,10.7,29.5,27%,,
Pius Suter,STL,29,"C,LW",164.7,2.75,60,16.8,1.3,16.7,15.3,32.0,103.3,1.5,3.9,26.4,49.1,0.0,2.5,246.8,295.6,46%,,
Matt Roy,WSH,30,D,164.4,2.74,60,21.5,0.2,3.7,16.4,20.1,89.0,0.0,0.4,118.6,87.4,4.8,0.6,0.0,0.0,0%,,
Sean Durzi,UTA,27,D,164.4,2.74,60,18.9,1.7,5.8,18.0,23.8,82.8,1.4,6.4,90.2,47.9,0.2,0.9,0.0,0.0,0%,,
Patrik Laine,MTL,27,"LW,RW",164.1,2.69,61,12.6,2.4,15.7,12.8,28.5,105.3,9.5,13.4,25.0,37.2,-1.3,2.3,30.7,38.2,45%,,
Phillip Danault,L.A,32,C,163.8,2.73,60,16.8,1.9,8.0,22.1,30.1,105.0,1.7,3.6,34.8,55.9,3.1,1.2,441.6,404.6,52%,,
Nicholas Robertson,TOR,24,RW,162.6,2.71,60,14.4,1.5,15.3,12.9,28.2,116.2,2.6,4.2,31.1,81.3,0.8,2.1,3.4,5.1,40%,,
Simon Holmstrom,NYI,24,RW,162.4,2.75,59,17.0,0.7,15.3,16.9,32.2,74.6,0.5,1.5,54.1,26.1,-2.5,2.2,3.2,7.9,29%,,
Alexander Nikishin,CAR,24,D,162.3,2.71,60,20.5,1.0,5.1,17.1,22.1,98.9,0.3,2.0,89.0,113.0,7.4,0.9,0.0,0.0,0%,,
Eetu Luostarinen,FLA,27,LW,161.0,2.64,61,17.0,2.2,10.8,15.9,26.7,101.8,3.4,5.9,48.1,129.1,2.4,1.8,42.0,43.7,49%,,
Jake McCabe,TOR,32,D,160.6,2.68,60,21.5,0.2,4.4,17.7,22.1,62.3,0.2,0.5,125.0,101.1,2.2,0.6,0.0,0.0,0%,,
Taylor Hall,CAR,34,LW,160.2,2.67,60,14.3,1.6,12.8,17.4,30.2,102.2,2.4,4.8,27.7,41.3,5.7,2.3,24.0,30.2,44%,,
Philipp Kurashev,S.J,26,"C,RW",159.6,2.70,59,16.7,1.8,13.1,17.9,31.0,97.1,2.3,6.1,23.9,49.6,-7.6,1.6,76.9,88.6,46%,,
Nino Niederreiter,WPG,33,LW,159.3,2.61,61,14.1,1.7,12.1,16.0,28.1,107.5,2.9,8.3,25.8,94.4,2.1,1.8,13.4,14.0,49%,,
Ilya Mikheyev,CHI,31,RW,158.6,2.64,60,18.1,0.0,14.9,14.8,29.7,118.8,0.0,0.0,19.9,36.2,-4.3,2.2,2.3,15.0,13%,,
Owen Power,BUF,23,D,157.9,2.63,60,20.1,1.3,4.9,19.8,24.7,84.5,0.4,3.6,76.2,34.8,-0.7,0.7,0.0,0.0,0%,,
Brent Burns,COL,40,D,157.7,2.63,60,19.8,0.5,4.6,15.9,20.5,108.8,0.3,1.6,80.4,24.8,8.0,0.8,0.0,0.0,0%,,
Ridly Greig,OTT,23,"C,RW",157.4,2.58,61,17.5,1.6,10.9,16.5,27.4,99.0,1.8,5.4,40.6,101.0,0.6,1.8,197.6,182.8,52%,,
Andrei Kuzmenko,L.A,29,"LW,RW",157.3,2.62,60,13.8,3.3,12.1,19.0,31.1,83.1,5.5,14.1,16.6,30.2,1.4,1.9,0.4,0.1,84%,,
Artem Zub,OTT,30,D,157.1,2.58,61,21.6,0.2,4.0,16.6,20.6,75.6,0.1,0.6,113.7,80.9,2.6,0.6,0.0,0.0,0%,,
Jonathan Toews,WPG,37,C,157.0,2.57,61,16.2,1.7,11.6,16.3,27.8,93.7,2.7,7.3,38.7,28.9,-0.6,1.8,572.6,338.3,63%,,
Fabian Zetterlund,OTT,26,RW,156.7,2.57,61,15.0,1.2,11.8,13.3,25.1,112.0,2.2,4.2,42.5,97.3,2.2,1.9,14.9,18.8,44%,,
Vladislav Namestnikov,WPG,33,"C,LW",156.2,2.56,61,15.5,1.7,11.6,17.1,28.6,87.3,3.2,7.6,38.0,74.0,1.9,1.8,173.3,243.8,42%,,
Marcus Johansson,MIN,35,LW,156.1,2.65,59,15.7,1.3,11.7,19.1,30.9,93.3,2.2,5.8,21.9,37.4,0.3,1.9,6.1,16.2,27%,,
Jean-Gabriel Pageau,NYI,33,"C,RW",156.1,2.65,59,16.2,0.2,11.4,18.6,30.0,78.2,0.1,0.3,53.5,98.4,-2.3,1.6,493.1,355.5,58%,,
Vladislav Gavrikov,NYR,30,D,155.7,2.64,59,22.4,0.1,5.0,16.7,21.7,85.4,0.0,0.2,95.6,31.7,2.0,0.9,0.0,0.0,0%,,
Nicolas Roy,TOR,28,"C,RW",155.3,2.59,60,16.8,1.2,11.4,16.4,27.8,93.5,1.4,3.9,42.4,62.9,0.4,1.6,372.2,400.6,48%,,
Joel Farabee,CGY,25,"LW,RW",154.8,2.67,58,16.9,1.0,11.6,12.9,24.5,115.5,0.6,2.5,41.9,62.7,-4.0,1.5,18.3,30.3,45%,,
Brayden McNabb,VGK,34,D,154.8,2.54,61,21.2,0.0,3.3,12.8,16.1,66.6,0.0,0.0,146.0,98.3,7.6,0.6,0.0,0.0,0%,,
Jamie Drysdale,PHI,23,D,154.6,2.49,62,21.5,2.3,6.6,16.1,22.7,69.8,1.4,5.2,92.8,29.4,-3.7,1.0,0.0,0.0,0%,,
Emil Heineman,NYI,24,LW,154.0,2.61,59,15.1,1.1,15.2,13.0,28.2,100.4,2.0,3.4,31.4,186.5,-1.4,2.2,3.8,6.8,36%,,
Thomas Novak,PIT,28,C,153.6,2.52,61,14.3,1.1,12.9,15.6,28.5,97.8,1.9,4.7,29.2,20.0,-0.6,1.8,115.9,158.0,42%,,
