Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Mark Scheifele,WPG,32,C,299.7,4.91,61,20.5,2.8,27.3,38.4,65.7,137.8,6.8,16.2,34.9,43.0,2.7,4.2,498.5,511.6,49%,,
Alex Debrincat,DET,27,"LW,RW",299.1,4.98,60,18.5,3.5,26.4,29.2,55.5,197.2,10.8,21.0,25.7,31.5,-0.7,3.5,14.3,18.8,43%,,
Nico Hischier,N.J,26,C,296.6,4.86,61,21.6,3.0,25.7,31.9,57.6,157.5,6.8,17.7,54.6,42.2,3.8,3.9,759.0,606.4,56%,,
Tage Thompson,BUF,28,"C,RW",296.0,4.93,60,18.7,3.3,30.2,24.4,54.6,208.0,6.7,14.9,26.8,64.2,1.1,4.2,263.8,333.4,44%,,
Elias Pettersson (F),VAN,27,"C,LW",294.5,4.99,59,21.6,3.4,20.4,35.1,55.5,128.9,7.0,18.5,89.8,72.8,0.3,3.0,515.7,540.2,49%,,
Rasmus Dahlin,BUF,25,D,294.4,4.91,60,24.6,3.5,12.9,38.0,50.9,161.0,4.5,18.0,86.3,68.7,1.6,1.8,0.0,0.0,0%,,
Kirill Marchenko,CBJ,25,RW,293.9,4.90,60,19.6,3.4,23.6,33.4,57.1,175.0,4.7,18.2,34.1,47.4,3.8,3.5,8.1,22.5,27%,,
Matt Boldy,MIN,24,"LW,RW",293.3,4.97,59,20.3,3.9,23.4,30.8,54.2,179.9,7.7,20.5,40.3,36.4,2.2,3.7,36.0,46.2,44%,,
Adam Fox,NYR,27,D,292.6,4.96,59,24.7,3.5,10.6,44.5,55.1,119.6,2.8,20.0,94.7,36.4,3.8,1.8,0.0,0.0,0%,,
Dylan Strome,WSH,28,C,291.4,4.86,60,19.6,3.3,21.7,40.0,61.7,128.5,5.2,22.2,39.5,23.2,3.8,3.8,586.6,501.4,54%,,
Lucas Raymond,DET,23,RW,290.6,4.84,60,19.2,3.5,21.4,39.5,60.9,144.8,5.5,23.5,24.1,35.2,-0.8,2.8,1.9,3.6,35%,,
Kevin Fiala,L.A,29,LW,288.9,4.82,60,20.1,3.7,26.3,26.7,53.0,192.7,9.8,22.4,22.5,44.5,2.6,4.1,7.9,17.1,0%,,
Bryan Rust,PIT,33,RW,287.7,4.72,61,20.1,3.2,23.4,30.5,53.9,164.6,4.8,18.1,51.2,42.2,-1.8,3.2,2.9,5.3,35%,,
Clayton Keller,UTA,27,"LW,RW",286.2,4.77,60,18.8,2.8,22.1,35.5,57.7,163.2,4.8,19.4,24.3,15.6,0.0,3.4,10.5,13.8,43%,,
Cole Caufield,MTL,24,"LW,RW",282.6,4.63,61,18.7,3.3,27.4,26.7,54.1,189.7,6.5,15.2,20.8,49.4,2.0,4.0,5.3,7.4,47%,,
Timo Meier,N.J,29,"LW,RW",282.2,4.63,61,19.4,2.7,23.2,25.6,48.8,195.6,8.6,16.3,43.1,100.1,2.6,3.5,24.9,37.3,40%,,
Sebastian Aho,CAR,28,C,282.0,4.70,60,20.1,2.9,23.2,34.9,58.0,159.8,4.4,16.3,23.5,53.2,7.2,4.2,490.8,421.7,54%,,
Alex Ovechkin,WSH,40,"LW,RW",281.7,4.70,60,17.8,3.8,30.3,26.1,56.4,178.3,7.9,16.1,14.5,103.5,3.4,5.3,0.4,1.7,18%,,
Tomas Hertl,VGK,32,"C,LW",281.2,4.61,61,18.4,3.6,26.3,26.9,53.2,161.3,11.9,21.2,39.3,75.5,6.1,4.6,554.3,411.6,57%,,
Evan Bouchard,EDM,26,D,280.6,4.84,58,24.1,3.3,9.7,37.9,47.6,154.1,3.1,19.0,83.3,35.4,5.5,1.4,0.0,0.0,0%,,
Cutter Gauthier,ANA,21,LW,279.1,4.65,60,17.6,2.9,22.9,25.7,48.5,208.9,5.6,12.2,33.7,56.1,0.3,3.2,29.0,46.7,38%,,
Roope Hintz,DAL,29,C,275.0,4.58,60,17.4,3.5,21.9,33.1,54.9,147.6,6.7,21.6,29.7,46.0,6.9,3.9,364.5,297.2,55%,,
Mathew Barzal,NYI,28,"C,RW",274.2,4.65,59,21.0,3.4,17.0,35.3,52.3,164.8,2.9,13.7,42.6,37.2,1.0,2.4,121.0,176.4,0%,,
Nazem Kadri,CGY,35,C,273.8,4.72,58,20.1,3.1,21.2,28.5,49.7,196.4,5.6,15.8,21.3,43.5,-4.1,2.7,421.5,462.8,48%,,
Josh Morrissey,WPG,30,D,272.4,4.47,61,24.1,2.8,9.6,38.5,48.1,126.5,2.0,14.6,100.5,42.0,4.7,1.5,0.0,0.0,0%,,
Pavel Dorofeyev,VGK,25,RW,272.3,4.46,61,18.3,3.5,30.0,17.9,47.9,188.5,14.2,20.5,27.8,28.8,7.5,5.2,1.2,4.6,21%,,
J.T. Miller,NYR,32,"C,RW",272.0,4.61,59,20.4,2.9,20.6,35.9,56.5,133.0,5.0,17.2,37.7,136.7,1.7,3.6,576.9,427.7,57%,,
Brayden Point,T.B,29,C,271.4,4.45,61,18.4,3.5,26.3,28.9,55.2,142.7,9.6,19.8,29.5,19.8,5.6,4.8,278.2,314.8,47%,,
Tim Stützle,OTT,23,"C,LW",270.1,4.43,61,20.2,2.8,19.5,34.4,53.9,141.3,2.8,16.1,43.2,91.9,2.9,3.2,215.1,223.2,49%,,
